Price,Location,Room,Bath Room,Area
3.9 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",5,6,8 Marla
5.15 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
5.6 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
65 Crore,"E-7, Islamabad",,,1.9 Kanal
55 Crore,"F-8/1, F-8",,,3.6 Kanal
50 Crore,"F-6/3, F-6",,,2 Kanal
80 Crore,"E-7, Islamabad",,,1.6 Kanal
5.5 Crore,"Emaar Canyon Views, Islamabad",5,5,10 Marla
3.45 Crore,"G-13/4, G-13",4,5,4.4 Marla
15.5 Crore,"G-13, Islamabad",7,6,1 Kanal
80 Crore,"E-7, Islamabad",3,3,2.5 Kanal
6.5 Crore,"DHA Defence Phase 5, DHA Defence",5,6,10 Marla
3.95 Crore,"CBR Town Phase 1 - Block C, CBR Town Phase 1",4,5,7 Marla
2.8 Crore,"B-17, Islamabad",5,4,5 Marla
2.2 Crore,"B-17, Islamabad",5,5,5 Marla
5.7 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
13 Crore,"G-10/1, G-10",9,6,14.9 Marla
2.5 Crore,"Jinnah Gardens, FECHS",3,3,8 Marla
35 Crore,"F-10, Islamabad",6,7,1.6 Kanal
48 Crore,"F-7/1, F-7",6,7,1.3 Kanal
4.5 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",4,5,8 Marla
2.38 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,4,5 Marla
2.42 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,3,5 Marla
3.5 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5,6,8 Marla
3.7 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5,6,8 Marla
3.45 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5,6,8 Marla
3.95 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",5,6,8 Marla
3.4 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5,6,8 Marla
45 Crore,"F-10/1, F-10",,,2 Kanal
2.5 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,4,5 Marla
2.95 Crore,"Mumtaz City, Islamabad",7,6,8 Marla
3.1 Crore,"Bahria Enclave, Bahria Town",3,4,5 Marla
6.4 Crore,"Bani Gala, Islamabad",4,5,1.5 Kanal
8.9 Crore,"E-11, Islamabad",6,6,10 Marla
7.25 Crore,"D-17, Islamabad",5,7,1 Kanal
6.45 Crore,"Bani Gala, Islamabad",6,7,1.2 Kanal
2.3 Crore,"MPCHS - Multi Gardens, B-17",5,6,5 Marla
3.2 Crore,"D-17, Islamabad",5,7,6 Marla
2.5 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",3,4,5 Marla
2.6 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",3,4,5 Marla
3.45 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5,6,7 Marla
2.65 Crore,"Soan Garden - Block B, Soan Garden",5,5,5 Marla
17 Crore,"E-11/4, E-11",7,7,1 Kanal
85 Crore,"E-7, Islamabad",10,7,2.1 Kanal
3.25 Crore,"Soan Garden - Block A, Soan Garden",3,4,12 Marla
8.75 Crore,"G-13, Islamabad",7,7,10.9 Marla
90 Lakh,"C-18 - Block A, C-18",4,4,5 Marla
1.6 Crore,"C-18 - Block B, C-18",8,6,10 Marla
2.8 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",5,5,5 Marla
1.33 Crore,"Lilly Sector - Block A, DHA Valley - Lilly Sector",3,4,8 Marla
1.45 Crore,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",3,3,8 Marla
12 Crore,"I-8, Islamabad",6,6,14.2 Marla
10.9 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
4 Crore,"Bani Gala, Islamabad",5,5,10 Marla
6.5 Crore,"Bani Gala, Islamabad",4,5,18 Marla
4.3 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
8.85 Crore,"G-11/2, G-11",5,6,8 Marla
7.8 Crore,"MPCHS - Block B, MPCHS - Multi Gardens",10,6,14 Marla
37 Crore,"F-10, Islamabad",8,6,2.2 Kanal
1.9 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",3,3,5 Marla
12 Crore,"DHA Phase 2 - Sector G, DHA Defence Phase 2",6,,1 Kanal
14 Crore,"E-11, Islamabad",8,6,1 Kanal
3.8 Crore,"Bani Gala, Islamabad",2,3,11 Marla
9.5 Crore,"DHA Phase 2 - Sector A, DHA Defence Phase 2",6,6,1 Kanal
8 Crore,"DHA Phase 2 - Sector D, DHA Defence Phase 2",6,,1 Kanal
72 Lakh,"Lilly Sector - DHA Homes, DHA Valley - Lilly Sector",2,2,5 Marla
38 Crore,"F-7, Islamabad",5,,1.3 Kanal
1.35 Crore,"DHA Valley - Oleander Sector, DHA Valley",3,3,8 Marla
50 Crore,"F-7/3, F-7",10,,1.3 Kanal
35 Crore,"F-11, Islamabad",,,2 Kanal
6.3 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,6,12 Marla
9.75 Crore,"DHA Phase 2 - Sector C, DHA Defence Phase 2",6,6,1 Kanal
15 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
66 Lakh,"Lilly Sector - Block A, DHA Valley - Lilly Sector",2,2,5 Marla
10.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
11.25 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
13.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
7.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,12 Marla
3.95 Crore,"MPCHS - Multi Gardens, B-17",6,6,8 Marla
3.6 Crore,"Bahria Enclave - Sector N, Bahria Enclave",5,6,8 Marla
12 Crore,"Bani Gala, Islamabad",7,,1 Kanal
80 Crore,"F-6/2, F-6",9,,2 Kanal
1.3 Arab,"F-6, Islamabad",10,,5 Kanal
1.2 Arab,"F-6, Islamabad",5,6,4 Kanal
3.75 Crore,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",5,7,8 Marla
12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
3.05 Crore,"Mumtaz City, Islamabad",6,6,8 Marla
11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
18 Crore,"D-12/4, D-12",6,7,1 Kanal
37 Crore,"F-7, Islamabad",4,5,1.3 Kanal
7 Crore,"Soan Garden - Block F, Soan Garden",7,6,1 Kanal
38 Crore,"F-7, Islamabad",5,6,1.3 Kanal
6.8 Crore,"G-13, Islamabad",4,4,7 Marla
3.95 Crore,"G-13, Islamabad",4,4,4 Marla
12.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
21.9 Crore,"DHA Defence Phase 5, DHA Defence",8,6,1.8 Kanal
4.15 Crore,"Fazaia Housing Scheme, Tarnol",5,6,10 Marla
4.5 Crore,"G-10/4, G-10",5,5,6 Marla
14.5 Crore,"DHA Phase 2 - Sector G, DHA Defence Phase 2",7,7,1 Kanal
11.5 Crore,"DHA Phase 2 - Sector G, DHA Defence Phase 2",6,7,1 Kanal
12 Crore,"DHA Phase 2 - Sector D, DHA Defence Phase 2",6,7,1 Kanal
1 Arab,"F-7/3, F-7",4,,4 Kanal
45 Crore,"F-7, Islamabad",6,6,2 Kanal
26 Crore,"F-7, Islamabad",5,5,1.3 Kanal
48 Crore,"F-7, Islamabad",6,6,1.3 Kanal
80 Crore,"F-7/3, F-7",10,,4 Kanal
40 Crore,"F-8, Islamabad",9,,1 Kanal
3.9 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
16.5 Crore,"DHA Defence Phase 3, DHA Defence",6,6,1.5 Kanal
3.3 Crore,"Soan Garden - Block F, Soan Garden",5,5,7 Marla
5 Crore,"Bani Gala, Islamabad",4,5,1.3 Kanal
4 Crore,"Bani Gala, Islamabad",5,5,10 Marla
3 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,4,5 Marla
2.5 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,4,5 Marla
8.9 Crore,"G-13, Islamabad",6,7,10 Marla
6 Crore,"G-16, Islamabad",6,6,12.4 Marla
2.5 Crore,"Jinnah Gardens, FECHS",4,5,5 Marla
7.9 Crore,"DHA Phase 1 - Sector B, DHA Defence Phase 1",6,6,1.2 Kanal
39 Crore,"DHA Defence Phase 2, DHA Defence",6,6,2 Kanal
9 Crore,"G-13/3, G-13",6,6,10 Marla
8.75 Crore,"G-13/3, G-13",6,6,10.9 Marla
55 Crore,"F-7, Islamabad",5,6,2.3 Kanal
75 Crore,"F-6, Islamabad",4,5,3.2 Kanal
18 Crore,"D-12/4, D-12",9,6,1 Kanal
15.5 Crore,"D-12/4, D-12",5,5,14 Marla
9.75 Crore,"D-12/1, D-12",7,6,8 Marla
13.5 Crore,"D-12/4, D-12",5,5,10 Marla
60 Crore,"F-8, Islamabad",8,,3.6 Kanal
30 Crore,"F-8, Islamabad",10,,2 Kanal
65 Crore,"F-8, Islamabad",8,6,4 Kanal
22.5 Crore,"F-8, Islamabad",5,5,1 Kanal
26 Crore,"F-8, Islamabad",6,6,1.3 Kanal
3.65 Crore,"Bani Gala, Islamabad",4,6,7 Marla
5.8 Crore,"G-11, Islamabad",2,3,8 Marla
4.55 Crore,"I-14, Islamabad",8,7,9.3 Marla
3.6 Crore,"I-14, Islamabad",6,7,8 Marla
6.1 Crore,"Soan Garden - Block H, Soan Garden",10,6,1 Kanal
32 Crore,"F-7/1, F-7",8,7,1.1 Kanal
